Date	Open	High	Low	Close	Volume
24/02/2021 16:30:00	176.26	177.46	175.86	177.36	7206
25/02/2021 16:30:00	178.46	178.47	176.95	176.92	3385
26/02/2021 16:30:00	173.28	174.45	171.86	173.64	7816
01/03/2021 16:30:00	175.02	176.57	174.44	176.47	23571
02/03/2021 16:30:00	175.63	176.57	175.04	176.06	5503
03/03/2021 16:30:00	176.93	177.15	174.23	175.49	16969
04/03/2021 16:30:00	173.42	174.11	172.46	173.73	4409
05/03/2021 16:30:00	170.29	172.97	169.36	169.9	4180
08/03/2021 16:30:00	171.75	174.32	171.66	173.87	4211
09/03/2021 16:30:00	173.12	175.76	173.05	175.76	4661
10/03/2021 16:30:00	174.31	176.15	174.31	175.89	5959
11/03/2021 16:30:00	177.01	178.73	176.83	178.59	6300
12/03/2021 16:30:00	177.19	177.46	176.35	176.92	6358
15/03/2021 16:30:00	177.6	178	177.03	177.42	4814
16/03/2021 16:30:00	178.45	179.22	178.45	179.22	1832
17/03/2021 16:30:00	177.99	178.63	177.14	177.99	22231
18/03/2021 16:30:00	178.53	179.09	177.76	179.09	9490
19/03/2021 16:30:00	177.06	177.98	175.61	176.85	6386
22/03/2021 16:30:00	176.29	178.35	176.28	178.35	3400
23/03/2021 16:30:00	176.58	177.41	176.35	177.41	6780
24/03/2021 16:30:00	175.48	176.63	175.48	176.46	2163
25/03/2021 16:30:00	174.93	175.09	173.16	175.08	5506
26/03/2021 16:30:00	176.08	176.96	175.68	176.96	3706
29/03/2021 16:30:00	177.08	177.52	176.6	177.49	1774
30/03/2021 16:30:00	177.59	178.1	176.73	177.77	2148
31/03/2021 16:30:00	176.76	177.9	176.63	177.73	7633
01/04/2021 16:30:00	178.5	179.43	178.18	179.43	4794
06/04/2021 16:30:00	180.23	182.41	180.23	182.41	3984
07/04/2021 16:30:00	181.67	182.33	181.15	181.43	5484
08/04/2021 16:30:00	182.58	182.92	182.02	182.5	7542
09/04/2021 16:30:00	182	182.62	182	182.4	7275
12/04/2021 16:30:00	182.7	182.92	182.42	182.73	19880
13/04/2021 16:30:00	182.85	183.83	182.22	183.26	19764
14/04/2021 16:30:00	184.38	184.47	183.8	184.11	6093
15/04/2021 16:30:00	184.48	185.12	184.47	184.9	3245
16/04/2021 16:30:00	185.31	185.93	185.28	185.66	8722
19/04/2021 16:30:00	185.95	186.1	185.39	185.92	56969
20/04/2021 16:30:00	185.56	185.64	182.9	183.03	9116
21/04/2021 16:30:00	183.54	184.68	182.82	184.26	7351
22/04/2021 16:30:00	185.03	185.34	184.89	185.15	1785
23/04/2021 16:30:00	184.49	185.62	184.41	185.6	10831
26/04/2021 16:30:00	185.98	186.4	185.49	186.24	12059
27/04/2021 16:30:00	186.4	186.56	185.75	186.1	9330
28/04/2021 16:30:00	186.15	186.61	185.94	186.46	8758
29/04/2021 16:30:00	187.29	187.51	186	186.24	4568
30/04/2021 16:30:00	186.36	186.36	185.14	185.25	5603
04/05/2021 16:30:00	185.71	185.77	182.8	183.11	17053
05/05/2021 16:30:00	184.65	185.2	184.56	185.22	3066
06/05/2021 16:30:00	185.21	185.62	184.19	185.46	21156
07/05/2021 16:30:00	186.45	188.13	185.95	187.94	10702
10/05/2021 16:30:00	188.07	188.2	187.29	187.73	8170
